"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","conf_rr_nfqr","conf_rr_fqr","unconf_rr_nfqr_tx","conf_rr_nfqr_tx","rrmdr_014_tx","conf_rr_fqr_tx","mdrxdr_bdq_used","mdrxdr_bdq_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Afghanistan","AF",2021,24715,12254,12699,501,93,62,386,,49668,50324,1042,50710,24715,887,0,0,1,221,2939,,,2770,,,,4358,3379,2194,1872,2100,2529,16432,0,2180,,,3331,,,,6044,5136,3605,2998,2802,2087,22672,0,11220,60,18981,,,459,123,0,392,32,20,1,264,1,258,1,114,20,17443,501,390,69,,,,,,,,,,,413,123,,,,,,,,,,1,31278,2,2,,,,,2,2,117,34,1141,34,117,,,0,,,,,,,,,,,
"Albania","AL",2021,168,43,50,5,3,0,0,0,261,269,8,269,168,5,0,0,1,220,3,0,1,,,4,23,,28,21,27,29,39,171,0,1,1,2,,,6,19,,20,13,6,5,21,90,0,8,60,158,,,6,,0,5,0,,1,5,1,2,1,3,0,154,4,5,1,,,99,4,7,1,5,1,1,0,0,,,,,,,,,,,1,244,1,1,,,,,1,1,107,,,,,,,0,,,,,,,,,,,9
"Algeria","DZ",2021,4635,799,13391,187,,,110,,18825,19012,297,19122,4635,297,0,,,222,,,,,46,,,398,717,487,394,285,327,2608,,,,,,79,,,436,356,224,167,194,298,1675,,125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"American Samoa","AS",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andorra","AD",2021,2,0,0,,,,0,0,2,2,0,2,2,,,0,1,220,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,1,,,60,0,,,0,0,0,0,0,0,0,,0,,0,,,2,,0,,,,2,0,0,0,0,0,0,0,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,0
"Angola","AO",2021,31113,23841,3466,2460,742,69,2279,,58420,61691,5550,63970,30949,2460,164,6,1,221,1143,,,2122,,,,8042,8972,6268,3936,2295,1522,31035,9,1091,,,2357,,,,7038,6222,4562,3123,1892,1092,23929,5,6713,0,,,,1232,0,0,1232,31,0,1,1232,3,,3,,0,10250,1100,759,473,540,151,759,473,759,473,759,473,759,473,,,,,,,,,,,,0,45238,5619,3597,,,,,,,,,,,,,,0,,,,,,,,,,,
"Anguilla","AI",2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Antigua and Barbuda","AG",2021,3,1,0,0,0,0,,,4,4,0,4,3,0,0,3,1,222,,,,,0,,,0,0,0,1,1,0,2,0,,,,,0,,,1,0,1,0,0,0,2,0,0,60,4,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
"Argentina","AR",2021,8352,2228,1027,244,51,25,613,,11607,11927,933,12540,6341,723,2011,1019,1,220,133,106,152,,,612,782,,1402,1149,937,852,631,6365,9,119,79,204,,,579,658,,1149,709,590,520,435,4640,3,793,60,697,,,166,10,0,166,6,10,1,23,1,,0,,,2309,341,100,36,,,394,117,126,47,83,31,74,27,127,10,0,0,0,0,5,4,0,0,1,1,2505,999,623,1,124,7,6,623,,,,,,,,,0,,,,,,,,,,,
"Armenia","AM",2021,209,55,105,20,3,6,28,1,369,398,57,426,209,47,0,2,1,220,9,2,3,,,15,8,,41,59,78,61,34,296,0,0,2,2,,,3,6,,23,18,4,17,13,84,0,18,60,326,,,47,17,3,47,0,17,1,60,1,21,1,29,23,209,47,44,20,,,209,47,72,18,44,20,42,18,57,17,,,,,,7,,,10,1,335,36,,,,,,36,31,371,,,106,,,,0,,,,,,,,,,,
