"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Afghanistan","AF",2022,25302,11908,13702,628,103,106,739,,50912,51749,1576,52488,25302,,,0,1,221,3204,,,2893,,,,4418,3564,2201,1854,2062,2820,16919,0,2358,,,3167,,,,6030,5122,3493,3105,3059,2399,23208,0,11622,62,,10545,0,5429,,,51844,51844,618,570,4,45,26,26,0,,0,,1,451,1,145,596,10545,1367,557,87,,,186,286,47,74,36,87,25,47,568,26,,,,,,,,,,0,39188,12,12,,,,,11,11,140,,,,,,,0,,,,,,,,,,,
"Albania","AL",2022,171,53,42,17,5,4,0,,266,292,26,292,171,17,0,0,1,220,2,0,1,,,7,17,,37,19,30,27,63,200,0,2,0,1,,,5,11,,10,9,7,11,33,86,0,6,60,263,,,,,,287,280,3,3,0,1,,,0,,0,,1,2,0,,0,161,13,1,2,,,102,6,4,2,1,2,0,2,0,,,,,,,,,,,1,263,1,1,,,,,1,1,94,,,,,,,0,,,,,,,,,,,12
"Algeria","DZ",2022,4900,720,12912,206,0,0,131,,18532,18738,337,18869,4900,337,0,0,0,222,,,,,32,,,424,718,610,423,307,377,2859,,,,,,45,,,357,373,251,156,182,355,1674,,77,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,70,80,21,27,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"American Samoa","AS",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andorra","AD",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angola","AO",2022,32887,26824,3270,1989,1340,46,2896,,62981,66356,6271,69252,32716,4880,171,16,,221,1201,,,2091,,,,8679,9991,6992,4363,2408,1656,34089,0,1033,,,2425,,,,7323,6818,5038,3186,1908,1244,25517,0,6750,0,,,,,,,1704,1704,1704,1704,0,36,0,0,0,,1,0,1,868,1,836,0,30981,3100,1242,462,1989,129,1242,462,1242,462,1242,462,1242,462,0,0,0,0,0,0,0,0,0,0,0,1,43840,3373,3319,,,,,,,,,,,,,,0,,,,,,,,,,,
"Anguilla","AI",2022,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,1,1,222,,,,,0,,,0,0,1,0,0,0,1,0,,,,,0,,,0,0,0,0,0,0,0,0,0,60,0,,,,,,1,1,0,0,0,,0,0,0,,0,,0,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,,,,,,,,,,,,0,,,,,,,,,,,
"Antigua and Barbuda","AG",2022,0,0,0,1,0,0,1,,0,1,2,2,0,1,0,1,1,221,0,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,,,,0,0,0,1,0,0,1,0,0,62,,0,,,,,1,1,0,0,0,,,,0,,0,,0,,0,,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
"Argentina","AR",2022,8412,2062,1485,297,63,24,736,,11959,12343,1120,13079,6676,843,1736,1695,1,220,161,121,199,,,613,909,,1650,1200,984,840,774,6970,14,154,115,260,,,527,664,,1202,804,616,516,596,4925,2,1010,62,,1804,162,274,,,13463,13463,194,194,56,29,6,6,0,,0,,1,194,0,,256,2583,381,86,55,,,1997,271,92,51,61,42,41,35,119,6,0,0,0,2,1,0,0,0,3,1,2899,1021,898,1,209,5,5,,127,2810,,,,,,,0,,,,,,,,,,,
"Armenia","AM",2022,233,72,106,19,3,7,32,2,411,440,61,472,233,46,0,6,1,221,4,,,10,,,,18,44,88,59,74,47,330,0,0,,,3,,,,13,22,16,9,19,14,93,0,17,60,379,,,,,,412,400,52,52,0,0,8,8,0,,0,,1,35,1,25,60,233,46,36,20,,,233,46,62,26,36,20,33,19,54,8,,,,1,2,3,,,2,1,411,39,35,,,,,35,,,,,,,,,0,,,,,,,,,,,
"Aruba","AW",2022,5,0,0,,,,0,,5,5,0,5,,,,4,,221,0,,,0,,,,0,2,1,0,1,0,4,0,0,,,0,,,,0,0,0,0,0,1,1,0,0,0,,,,,,,5,5,0,0,0,0,0,0,3,,3,,3,,3,,,5,,0,,,,5,,0,,0,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Australia","AU",2022,692,88,450,25,4,13,0,,1230,1272,42,1272,681,25,11,1137,1,222,,,,,16,,,82,183,112,81,78,167,703,1,,,,,10,,,69,163,97,63,67,83,542,0,26,0,,,,,,,1251,996,17,17,0,0,4,3,0,,1,9,1,8,1,1,20,594,19,17,1,,,591,19,57,4,16,1,13,1,16,4,0,0,0,0,0,0,0,0,4,1,622,7,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Austria","AT",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azerbaijan","AZ",2022,1705,579,593,978,95,39,1180,,2877,3989,2292,5169,1705,2158,,,0,221,13,,,41,,,,353,397,309,287,335,160,1841,,13,,,43,,,,194,212,116,113,165,126,926,,110,60,3794,,,,,,4211,4109,958,865,3,9,171,166,0,,0,,1,853,1,181,,1671,2153,199,487,,,1644,2153,254,420,199,487,110,248,628,97,,,,,,,,,,0,3399,80,78,,,,,51,,,,,,,331,551,0,,,,,,,,,,,
"Bahamas","BS",2022,17,29,1,0,1,0,0,,47,48,1,48,17,0,0,13,1,220,0,1,1,,,1,1,,8,6,5,4,5,30,0,1,0,0,,,5,0,,3,2,3,1,1,15,0,3,62,,2,0,0,,,48,48,0,0,0,0,0,0,0,,0,,0,,0,,0,10,0,0,0,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,14,11,1,2,0,0,11,,,,,,,,,0,,,,,,,,,,,
"Bahrain","BH",2022,102,9,77,,,,0,,188,188,0,188,102,0,0,149,1,221,2,,,2,,,,10,29,27,19,22,8,115,,2,,,1,,,,5,25,14,14,5,3,66,,7,62,,102,9,54,,,138,138,3,3,0,0,,,0,,0,,0,,0,,0,102,0,2,0,,,82,0,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,140,5,3,,,,,,,,,,,,,,0,,,,,,,,,,,
"Bangladesh","BD",2022,139138,43980,62692,7573,5874,2700,774,,245810,261957,16921,262731,139127,8171,11,0,1,221,974,,,4063,,,,14130,18382,21267,24540,29339,34313,141971,12,671,,,5005,,,,18204,20930,20708,20338,16901,12175,109256,5,10713,60,53201,,,,,,262731,262731,,1267,0,15,84,83,0,,1,23,1,112,1,1132,1267,51688,8171,874,539,7573,405,0,0,0,0,0,0,0,0,1413,83,0,0,0,0,0,0,0,0,83,0,70477,55,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Barbados","BB",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,79,0,1397,0,79,,,,,,,,,,,,,,
"Belarus","BY",2022,1203,58,116,287,0,6,233,4,1377,1670,526,1903,1203,520,0,0,1,220,0,1,2,,,9,16,,100,314,350,299,166,1254,0,0,3,1,,,4,17,,47,95,70,64,112,409,0,7,60,1607,,,,,,1037,1034,507,475,28,3,314,287,0,,1,328,1,260,1,173,501,1203,520,499,222,287,203,1203,520,571,149,499,222,498,142,721,314,13,3,3,5,150,51,1,87,1,1,1649,127,120,,,,,,,,,,,,,,0,,,,,,,,,,,97
"Belgium","BE",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
